x_mm y_mm z_mm
-100.212810 2.991302 -50.066653
-100.169480 -32.570510 -57.784640
-100.190200 32.532287 -57.762314
-100.171258 -13.545567 -51.240437
-100.137702 -4.482817 -50.367522
-100.128463 4.487441 -49.922265
-100.118324 -21.291602 -53.668889
-100.070006 -10.515154 -50.649416
-100.092719 -44.526274 -64.588321
-100.111387 -34.176999 -58.258158
-100.024050 -5.938439 -50.245263
-99.994224 -19.715977 -52.764503
-99.967775 -42.745491 -63.564479
-99.987127 42.743052 -63.420522
-99.944087 -35.825281 -58.798776
-100.042080 35.831020 -59.193712
-99.937839 7.436919 -50.185553
-99.922042 -11.999090 -50.801261
-99.853723 27.566906 -55.296899
-99.817742 25.985916 -54.297137
-99.866669 29.117774 -55.398293
-99.870621 18.130097 -51.856590
-99.879741 -24.371698 -53.570855
-99.852963 24.309725 -53.823092
-99.838134 -30.758481 -56.423961
-99.878008 30.800017 -56.868873
-99.790810 -40.918169 -61.925988
-99.800256 0.032073 -49.652223
-99.786302 -37.421954 -59.926035
-99.827030 -1.498367 -49.898240
-99.801323 -22.738590 -53.162344
-99.831458 22.794298 -53.376131
-99.808200 -2.939673 -49.436139
-99.755395 3.025182 -49.647512
-99.723340 -13.589995 -50.883165
-99.734175 13.526032 -50.776498
-99.757664 16.583483 -51.440037
-99.704085 -44.440640 -64.235242
-99.720935 -4.422746 -49.946097
-99.680334 4.497435 -49.697803
-99.649245 21.176349 -52.629393
-99.643137 -10.507445 -50.192726
-99.685873 10.455685 -50.248526
-99.664364 -34.064265 -57.733668
-99.651941 34.063892 -57.853404
-99.625015 -39.091706 -60.461135
-99.630086 5.884511 -49.383426
-99.614122 -19.700886 -51.861682
-99.566906 -42.513465 -62.920069
-99.544139 -35.688356 -58.495772
-99.534243 35.727390 -58.053989
-99.543367 -15.050119 -50.816458
-99.509435 15.030363 -50.645864
-99.564913 7.487908 -49.577599
-99.529718 11.978339 -50.232552
-99.535086 -27.482064 -54.211390
-99.504612 -25.872983 -53.659529
-99.472416 25.807766 -53.442993
-99.438076 -18.003999 -51.444735
-99.412740 -30.619635 -55.705951
-99.436488 -40.716754 -61.394776
-99.375811 -37.306213 -58.846527
-99.371548 37.315138 -58.986098
-99.399073 -8.937496 -49.456400
-99.390729 -22.707511 -52.496396
-99.374933 22.592599 -52.634664
-99.341535 -1.507714 -49.338063
-99.341040 -32.278341 -56.713590
-99.366403 -2.990845 -49.149266
-99.308542 2.916261 -49.208343
-99.305067 -44.241576 -63.571229
-99.347410 -13.417571 -50.309429
-99.350316 13.432935 -50.154471
-99.280285 16.480508 -50.721523
-99.288290 4.536373 -49.250398
-99.301516 -10.430771 -49.600888
-99.228803 -38.911493 -60.078895
-99.200808 -5.964409 -49.021150
-99.200001 -42.428238 -61.860852
-99.189233 -19.560888 -51.462118
-99.144314 -14.938421 -50.351891
-99.098504 14.921914 -50.196773
-99.110253 -7.394752 -49.141207
-99.137785 7.512395 -49.165995
-99.099902 -11.914248 -49.677194
-99.140807 11.932140 -49.985482
-99.024002 -28.921217 -54.234880
-99.080529 -25.772492 -53.119766
-99.031468 -17.981572 -50.937811
-99.043318 17.964223 -50.675072
-99.029256 -40.560320 -60.591287
-99.067326 -30.483910 -54.822315
-99.004870 -24.182307 -52.681036
-99.027432 -37.163506 -58.604000
-99.009294 37.123858 -58.226531
-98.958308 -8.961017 -49.150041
-98.976745 8.890091 -49.251355
-98.913453 -22.591890 -51.825822
-98.945992 22.576243 -51.629941
-98.928319 -0.015445 -48.523499
-98.909197 -1.491067 -48.527999
-98.919608 -44.076721 -62.557069
-98.897649 -2.946520 -48.726748
-98.946159 2.933944 -48.473962
-98.882651 -13.375500 -49.749443
-98.901428 -16.436897 -50.380966
-98.847010 -21.039310 -51.502254
-98.865098 -4.433643 -48.767360
-98.854824 4.421627 -48.607708
-98.835576 -38.819768 -59.052401
-98.803936 38.790430 -59.019762
-98.848651 -10.324750 -49.407378
-98.834516 -42.199465 -61.262953
-98.780315 -5.922433 -48.571617
-98.802902 5.920417 -48.471745
-98.764360 19.435502 -50.500669
-98.755113 -14.873299 -49.665256
-98.719015 14.949126 -49.620559
-98.688716 -7.381507 -48.806677
-98.701400 7.403437 -48.752782
-98.676299 11.884060 -49.245396
-98.664772 27.205175 -53.397479
-98.654786 -28.809014 -53.868612
-98.658567 28.793619 -53.579628
-98.721470 -25.652567 -52.399901
-98.711928 25.692772 -52.351822
-98.655877 -40.396861 -59.816466
-98.600193 -17.925471 -50.349397
-98.606703 17.904312 -50.362602
-98.631068 -30.376907 -54.377007
-98.588970 30.409888 -54.558966
-98.581014 -37.049662 -58.059783
-98.606398 37.017037 -57.971346
-98.582985 -24.074648 -51.615896
-98.603686 24.125698 -51.868119
-98.575999 -8.895185 -48.700011
-98.557323 31.993523 -54.761378
-98.505850 -43.866230 -61.708683
-98.589298 -22.462458 -51.508066
-98.582379 22.569718 -51.198785
-98.543717 -0.008674 -48.170019
-98.529431 -1.514279 -48.238848
-98.518273 -2.970362 -47.790610
-98.409083 -13.323518 -49.135273
-98.428754 13.357536 -48.898649
-98.515861 16.383407 -49.958939
-98.460293 -20.872433 -50.784451
-98.445140 -38.629271 -58.497919
-98.490600 38.609376 -58.118648
-98.456462 -4.390538 -48.096854
-98.429144 4.421172 -47.901072
-98.402905 10.344544 -48.777781
-98.453939 -42.128019 -60.807796
-98.397750 5.880726 -47.889167
-98.209984 -45.526912 -62.207483
-98.285097 7.379070 -48.357595
-98.212670 -27.139137 -52.609471
-98.288966 27.125546 -52.600521
-98.289354 -11.844826 -48.900823
-98.264264 11.819273 -48.727680
-98.235627 -28.727118 -53.316465
-98.251306 28.700394 -53.339204
-98.266113 -40.223741 -58.882524
-98.262202 -25.564890 -52.020154
-98.205366 36.947649 -56.978667
-98.187096 -30.341193 -53.742120
-98.208590 -17.743695 -49.637140
-98.224418 17.830224 -49.810183
-98.278814 -23.955572 -51.396951
-98.240603 23.918106 -51.162676
-98.216366 -43.715163 -61.351555
-98.229541 43.706996 -60.949512
-98.189300 -31.954917 -54.565433
-98.120376 -22.455275 -50.907015
-98.109228 22.416295 -51.107829
-98.135135 0.027967 -47.222485
-98.075269 1.492355 -48.022695
-98.047212 -2.967043 -47.499250
-98.080685 2.931196 -47.296120
-98.095623 -13.279101 -48.676886
-98.044648 -38.484496 -58.037851
-98.065134 -20.832917 -50.241588
-98.040560 20.839924 -50.150759
-97.985482 41.915098 -59.611818
-97.958812 4.419020 -47.412473
-97.970317 49.043971 -64.727015
-97.887003 -5.861287 -47.439546
-97.916368 -19.244747 -49.406776
-97.947189 19.318902 -50.048409
-97.901488 -45.340100 -61.977304
-97.854765 -40.119543 -58.625169
-97.866722 -14.760498 -48.591126
-97.822275 14.744140 -48.483801
-97.844891 -27.002882 -51.892461
-97.823940 26.964574 -52.161714
-97.853980 -28.642521 -52.756929
-97.837243 -7.355825 -47.589772
-97.858860 7.369433 -47.527830
-97.809921 -25.488047 -51.530426
-97.810276 25.451057 -51.281192
-97.810199 -11.795319 -47.953766
-97.781897 11.752580 -47.623668
-97.827911 36.713031 -56.550336
-97.796665 -30.149740 -53.202218
-97.804653 23.890993 -50.910306
-97.736524 -17.765902 -49.256227
-97.780595 -43.493095 -60.836100
-97.738245 43.628650 -60.643325
-97.814633 -31.733979 -53.581261
-97.694768 -22.310349 -50.418198
-97.716829 22.269138 -50.332087
-97.705641 -8.759324 -47.602108
-97.752946 8.809712 -47.602995
-97.684095 0.018298 -46.933933
-97.647741 1.385327 -47.027244
-97.678543 33.272720 -53.921741
-97.715767 38.304795 -56.779269
-97.615709 13.219749 -47.823295
-97.686947 -2.865950 -46.670633
-97.659521 2.905857 -46.908922
-97.663398 50.641298 -65.276654
-97.631654 -41.761502 -59.207199
-97.603312 20.759281 -49.420553
-97.696233 48.788570 -64.234113
-97.650565 -16.202631 -48.698414
-97.583685 16.172442 -48.332681
-97.595463 4.389306 -46.624513
-97.590915 -10.250643 -47.663077
-97.558543 10.228396 -47.497716
-97.514812 -19.177407 -49.169969
-97.497443 19.228265 -49.036443
-97.514091 45.233308 -60.835177
-97.461290 -39.919898 -58.031914
-97.431545 -26.898855 -51.467075
-97.409384 26.939353 -51.287877
-97.424108 -28.428882 -52.271696
-97.436002 -14.699300 -48.344418
-97.397896 -7.321111 -47.259617
-97.354470 7.307990 -46.722350
-97.392277 -11.701736 -47.607963
-97.386597 11.723540 -47.421179
-97.320694 -30.083535 -52.719225
-97.409998 -43.406751 -59.943664
-97.373228 43.325864 -59.514651
